station_complex_name,borough,routes,route_count,station_geom,line_ACE,line_123,line_BDFM,line_456,line_NQRW,line_7,line_L,line_G,line_JZ,ridership_2013,rider_change,emp_change,bus_change,pop_change,women_share_change,med_age_change,college_age_change,young_prof_age_change,med_income_change,med_rent_change,housing_units_change,renter_share_change
181 St,Manhattan,1,1,POINT (-73.933596 40.849505),0,1,0,0,0,0,0,0,0,11228.0,114.0,41915.0,186.0,14826.0,0.4688417432071046,0.1700000000000017,-8695.0,20034.0,10378.700000000004,208.0999999999999,8924.0,0.09932536865834285
181 St,Manhattan,A,1,POINT (-73.937969 40.851695),1,0,0,0,0,0,0,0,0,10404.0,356.0,41915.0,186.0,14826.0,0.4688417432071046,0.1700000000000017,-8695.0,20034.0,10378.700000000004,208.0999999999999,8924.0,0.09932536865834285
182-183 Sts,Bronx,B D,2,POINT (-73.900741 40.856093),0,0,1,0,0,0,0,0,0,4554.0,198.0,5893.0,199.0,20011.0,0.16020972997562444,0.125,-1564.0,9806.0,3465.0,140.5,5034.0,0.7995030206396803
183 St,Bronx,4,1,POINT (-73.903879 40.858407),0,0,0,1,0,0,0,0,0,6360.0,-606.0,7582.0,223.0,20951.0,-0.14520198518184202,0.29999999999999716,-2687.0,10429.0,3630.600000000002,150.19999999999982,5123.0,0.5301669491178607
190 St,Manhattan,A,1,POINT (-73.93418 40.859022),1,0,0,0,0,0,0,0,0,4546.0,28.0,1387.0,55.0,2043.0,0.6598707010124327,0.06666666666666288,-3147.0,4546.0,11673.0,238.33333333333326,2126.0,0.06695972880708112
191 St,Manhattan,1,1,POINT (-73.929412 40.855225),0,1,0,0,0,0,0,0,0,8258.0,-226.0,2234.0,110.0,1856.0,1.0051522697196003,-0.02499999999999858,-3535.0,5854.0,8706.0,213.75,2793.0,0.30932488373562883
2 Av,Manhattan,F,1,POINT (-73.989938 40.723402),0,0,1,0,0,0,0,0,0,17801.0,-1806.0,11142.0,-476.0,-14801.0,-0.14715034645033098,1.20000000000001,-3416.0,-5074.0,13602.199999999997,276.79999999999995,301.0,0.1560659909511264
20 Av,Brooklyn,D,1,POINT (-73.998168 40.604556),0,0,1,0,0,0,0,0,0,4859.0,46.0,7595.0,510.0,5805.0,-0.13337589343842549,0.3500000000000085,-1735.0,0.0,7478.0,230.5,127.0,0.8131605778406104
20 Av,Brooklyn,N,1,POINT (-73.985026 40.61741),0,0,0,0,1,0,0,0,0,4190.0,-676.0,7595.0,510.0,5805.0,-0.13337589343842549,0.3500000000000085,-1735.0,0.0,7478.0,230.5,127.0,0.8131605778406104
207 St,Manhattan,1,1,POINT (-73.918822 40.864621),0,1,0,0,0,0,0,0,0,6098.0,251.0,3648.0,174.0,8724.0,0.400451649209399,0.23999999999999488,-3548.0,7048.0,4865.800000000003,184.79999999999995,4188.0,0.2376162765769907
