borough,station,route,ridership_2013,ridership_2018,station_geom
Brooklyn,Junius St,3,2206,2080,POINT(-73.902447 40.663515)
Brooklyn,Kings Hwy,B Q,18799,19569,POINT(-73.957734 40.60867)
Brooklyn,Kings Hwy,F,3655,4567,POINT(-73.972361 40.603217)
Brooklyn,Kings Hwy,N,5154,3328,POINT(-73.980353 40.603923)
Brooklyn,Kingston - Throop Avs,C,5678,6585,POINT(-73.940858 40.679921)
Brooklyn,Kingston Av,3,4949,4623,POINT(-73.942161 40.669399)
Brooklyn,Knickerbocker Av,M,3429,2446,POINT(-73.919711 40.698664)
Brooklyn,Kosciuszko St,J,4751,6144,POINT(-73.928814 40.693342)
Brooklyn,Lafayette Av,C,4825,4889,POINT(-73.973946 40.686113)
Brooklyn,Liberty Av,C,2658,2754,POINT(-73.896548 40.674542)
Brooklyn,Livonia Av,L,2959,3209,POINT(-73.900571 40.664038)
Brooklyn,Lorimer St,J M,4796,4837,POINT(-73.947408 40.703869)
Brooklyn,Marcy Av,J M Z,11775,13315,POINT(-73.957757 40.708359)
Brooklyn,Montrose Av,L,6731,6884,POINT(-73.93985 40.707739)
Brooklyn,Morgan Av,L,7126,7510,POINT(-73.933147 40.706152)
Brooklyn,Myrtle - Willoughby Avs,G,4916,5736,POINT(-73.949046 40.694568)
Brooklyn,Myrtle Av,J M Z,10876,12122,POINT(-73.935657 40.697207)
Brooklyn,Nassau Av,G,8435,9312,POINT(-73.951277 40.724635)
Brooklyn,Neck Rd,B Q,3941,4405,POINT(-73.955161 40.595246)
Brooklyn,Neptune Av,F,1749,1516,POINT(-73.974574 40.581011)
Brooklyn,Nevins St,2 3 4 5,11468,10426,POINT(-73.980492 40.688246)
Brooklyn,New Lots Av,3,6349,5573,POINT(-73.884079 40.666235)
Brooklyn,New Lots Av,L,4785,4869,POINT(-73.899232 40.658733)
Brooklyn,Newkirk Av,2 5,7757,7312,POINT(-73.948411 40.639967)
Brooklyn,Newkirk Plaza,B Q,10788,10534,POINT(-73.962793 40.635082)
Brooklyn,Norwood Av,J Z,3492,3190,POINT(-73.880039 40.68141)
Brooklyn,Nostrand Av,3,4151,3907,POINT(-73.950466 40.669847)
Brooklyn,Nostrand Av,A C,16843,17437,POINT(-73.950426 40.680438)
Brooklyn,Ocean Pkwy,Q,3141,3199,POINT(-73.968501 40.576312)
Brooklyn,Park Pl,S,2077,1725,POINT(-73.957624 40.674772)
Brooklyn,Parkside Av,B Q,4240,6050,POINT(-73.961495 40.655292)
Brooklyn,Pennsylvania Av,3,5675,4331,POINT(-73.894895 40.664635)
Brooklyn,President St,2 5,3969,4019,POINT(-73.950683 40.667883)
Brooklyn,Prospect Av,R,5934,5523,POINT(-73.992872 40.665414)
Brooklyn,Prospect Park,B Q,9761,10059,POINT(-73.962246 40.661614)
Brooklyn,Ralph Av,C,5381,5768,POINT(-73.920786 40.678822)
Brooklyn,Rockaway Av,3,5632,4747,POINT(-73.908946 40.662549)
Brooklyn,Rockaway Av,C,5137,5667,POINT(-73.911946 40.67834)
Brooklyn,Saratoga Av,3,5807,5246,POINT(-73.916327 40.661453)
Brooklyn,Sheepshead Bay,B Q,14010,13946,POINT(-73.954155 40.586896)
Brooklyn,Shepherd Av,C,3149,3182,POINT(-73.88075 40.67413)
Brooklyn,Smith - 9 Sts,F G,2854,4689,POINT(-73.995959 40.67358)
Brooklyn,Sterling St,2 5,5915,5684,POINT(-73.95085 40.662742)
Brooklyn,Sutter Av,L,4555,4029,POINT(-73.901975 40.669367)
Brooklyn,Sutter Av - Rutland Rd,3,7831,6657,POINT(-73.92261 40.664717)
Brooklyn,Union St,R,6528,6835,POINT(-73.98311 40.677316)
Brooklyn,Utica Av,A C,14673,16121,POINT(-73.930729 40.679364)
Brooklyn,Van Siclen Av,3,3431,2904,POINT(-73.889395 40.665449)
Brooklyn,Van Siclen Av,C,2974,3021,POINT(-73.890358 40.67271)
Brooklyn,Van Siclen Av,J Z,2883,2678,POINT(-73.891688 40.678024)
Brooklyn,W 8 St - NY Aquarium,F Q,2069,2469,POINT(-73.975939 40.576127)
