r_table_station_name,routes,ridership_2013,ridership_2018,s_table_station_name,complex_id,borough,station_geom
Hoyt - Schermerhorn Sts,"A,C,G",9604,10540,Hoyt - Schermerhorn Sts,175,Brooklyn,POINT(-73.985001 40.688484)
Hunters Point Av,7,6400,7205,Hunters Point Av,463,Queens,POINT(-73.948916 40.742216)
Hunts Point Av,6,10144,10460,Hunts Point Av,371,Bronx,POINT(-73.890549 40.820948)
Intervale Av,"2,5",3420,3130,Intervale Av,431,Bronx,POINT(-73.896736 40.822181)
Inwood - 207 St,A,8866,8793,Inwood - 207 St,143,Manhattan,POINT(-73.919899 40.868072)
Jackson Av,"2,5",5432,5288,Jackson Av,433,Bronx,POINT(-73.907807 40.81649)
Jamaica - 179 St,F,23280,21452,Jamaica - 179 St,254,Queens,POINT(-73.783817 40.712646)
Jamaica - Van Wyck,E,4992,4717,Jamaica - Van Wyck,280,Queens,POINT(-73.816859 40.702566)
Jamaica Center - Parsons/Archer,"E,J,Z",41686,36368,Jamaica Center - Parsons/Archer,278,Queens,POINT(-73.801109 40.702147)
Jefferson St,L,6612,7674,Jefferson St,126,Brooklyn,POINT(-73.922913 40.706607)
Junction Blvd,7,20818,21100,Junction Blvd,451,Queens,POINT(-73.869527 40.749145)
Junius St,3,2206,2080,Junius St,349,Brooklyn,POINT(-73.902447 40.663515)
Kew Gardens - Union Tpke,"E,F",28289,25536,Kew Gardens - Union Tpke,259,Queens,POINT(-73.831008 40.714441)
Kings Hwy,F,3655,4567,Kings Hwy,250,Brooklyn,POINT(-73.972361 40.603217)
Kings Hwy,N,5154,3328,Kings Hwy,77,Brooklyn,POINT(-73.980353 40.603923)
Kings Hwy,"B,Q",18799,19569,Kings Hwy,51,Brooklyn,POINT(-73.957734 40.60867)
Kingsbridge Rd,4,10431,8992,Kingsbridge Rd,381,Bronx,POINT(-73.897174 40.86776)
Kingsbridge Rd,"B,D",7422,7922,Kingsbridge Rd,212,Bronx,POINT(-73.893509 40.866978)
Kingston - Throop Avs,C,5678,6585,Kingston - Throop Avs,180,Brooklyn,POINT(-73.940858 40.679921)
Kingston Av,3,4949,4623,Kingston Av,344,Brooklyn,POINT(-73.942161 40.669399)
Knickerbocker Av,M,3429,2446,Knickerbocker Av,113,Brooklyn,POINT(-73.919711 40.698664)
Kosciuszko St,J,4751,6144,Kosciuszko St,96,Brooklyn,POINT(-73.928814 40.693342)
Lafayette Av,C,4825,4889,Lafayette Av,176,Brooklyn,POINT(-73.973946 40.686113)
Lexington Av/63 St,"F,Q",15404,21394,Lexington Av/63 St,223,Manhattan,POINT(-73.966113 40.764629)
Liberty Av,C,2658,2754,Liberty Av,185,Brooklyn,POINT(-73.896548 40.674542)
Livonia Av,L,2959,3209,Livonia Av,135,Brooklyn,POINT(-73.900571 40.664038)
Longwood Av,6,3494,3395,Longwood Av,372,Bronx,POINT(-73.896435 40.816104)
Lorimer St,"J,M",4796,4837,Lorimer St,99,Brooklyn,POINT(-73.947408 40.703869)
Marble Hill - 225 St,1,5456,5433,Marble Hill - 225 St,296,Manhattan,POINT(-73.909831 40.874561)
Marcy Av,"J,M,Z",11775,13315,Marcy Av,101,Brooklyn,POINT(-73.957757 40.708359)
